,text
41,March 2 – The National Assembly of Vietnam declares Võ Văn Thưởng as the country's new president after receiving 98.38% votes from the Vietnamese parliament.
42,"March 4 – UN member states agree on a legal framework for the High Seas Treaty, which aims to protect 30% of the world's oceans by 2030."
43,"March 4 – Kivu conflict: Burundi deploys 100 troops to the Democratic Republic of the Congo to help fight insurgencies by militias, including M23."
44,"March 5 – The 2023 Estonian parliamentary election is held, with two centre-right liberal parties gaining an absolute majority for the first time."
45,"March 8–21 – The 2023 World Baseball Classic is held in, and won by, Japan."
46,"March 8 – Allied Democratic Forces jihadist insurgents use machetes to kill about 35 people in the village of Mukondi, North Kivu, Democratic Republic of the Congo."
47,March 10 – The 2023 Chinese presidential election is held with the National People's Congress unanimously re-electing Xi Jinping as the President of the People's Republic of China to an unprecedented third term.
48,"March 10 – Iran and Saudi Arabia agree to resume diplomatic relations which were severed in 2016, at talks mediated by China."
49,"March 10 – Silicon Valley Bank, the 16th largest bank in the United States, fails, creating then the largest bank failure since the 2008 financial crisis, affecting companies around the world."
50,"March 10 – Kivu conflict: Angola announces the deployment of troops to the Democratic Republic of the Congo, following the failure of a ceasefire between government forces and M23 rebels in North Kivu."
51,"March 14 – OpenAI launches GPT-4, a large language model for ChatGPT, which can respond to images and can process up to 25,000 words."
52,"March 17 – The International Criminal Court issues an arrest warrant for Russian president Vladimir Putin and Maria Lvova-Belova, Russian Commissioner for Children's Rights, marking the first arrest warrant against a leader of a permanent member of the United Nations Security Council."
53,"March 19 – In a deal brokered by the Swiss government, investment bank UBS agrees to buy Credit Suisse for CHF 3 billion (US$3.2 billion) in an all-stock deal."
54,March 20 – The Intergovernmental Panel on Climate Change (IPCC) releases the synthesis report of its Sixth Assessment Report on climate change.
55,"March 23 – World Athletics, the global governing body for athletics, bans trans women who have gone through male puberty from competing in female events."
56,"March 24–27 – A tornado outbreak kills at least 26 people in Mississippi and Alabama. This includes a violent tornado which devastated the city of Rolling Fork and the town of Silver City in Mississippi, killing 16 people and injuring 165 others."
57,"March 26 – Honduras switches its formal diplomatic recognition of ""China"" from the Republic of China to the People's Republic of China."
58,March 26 – 2023 Israeli judicial reform protests: Large-scale spontaneous protests erupt across Israel in the wake of Prime Minister Benjamin Netanyahu firing his defense minister who criticized the government's judicial overhaul plan.
59,"March 29 – Brazil and China sign an agreement to trade in their own currencies, ceasing the usage of the United States dollar as an intermediary."
60,March 29 – Burkina Faso formally resumes diplomatic relations with North Korea after suspending them in 2017.
61,March 30 – The International Court of Justice rules that the United States violated its Treaty of Amity with Iran when it allowed its domestic courts to freeze assets held by Iranian companies.
62,"March 31 – April 1 – A historic and widespread tornado outbreak occurs in the United States, killing 33 people, injuring more than 218 others, and caused over $5.4 billion in damage. This tornado outbreak produced 147 tornadoes, making it the third largest tornado outbreak in history."
63,"April 2 – The 2023 Bulgarian parliamentary election results in a GERB—SDS–PP–DB coalition government headed by Nikolai Denkov as prime minister, and ends two years of political deadlock."
64,"April 2 – The 2023 Montenegrin presidential election is held, with Jakov Milatović of the Europe Now! movement winning in the second round, becoming the first president not from the DPS party since the introduction of a multi-party system in 1990."
65,"April 2 – The 2023 Finnish parliamentary election is held, with the centre-right National Coalition led by Petteri Orpo receiving the most votes."
66,"April 2 – The 2023 Andorran parliamentary election is held, with the ruling Democrats for Andorra led by Prime Minister Xavier Espot winning the majority of the seats."
67,"April 4 – Finland becomes the 31st member of NATO, doubling the alliance's border with Russia."
68,April 5 – Clashes between Palestinians and the Israeli police happen at Al-Aqsa Mosque in Jerusalem.
69,April 10 – Two document leaks from the Pentagon detailing foreign military aid relating to the Russian invasion of Ukraine are leaked onto the Internet.
70,"April 11 – Myanmar civil war: In the village of Pazigyi, at least 165 people are killed by the Myanmar Air Force during the opening celebrations of a People's Defence Force administration office."
71,"April 14 – Jupiter Icy Moons Explorer (JUICE) is launched by the European Space Agency (ESA) to search for life in the Jovian system, with an expected arrival date of 2031."
72,"April 15 – Nuclear power in Germany ends after 50 years, with the closure of the final power plants."
73,"April 15 – Fighting breaks out across Sudan between the Sudanese Armed Forces and the paramilitary Rapid Support Forces. The RSF captures Khartoum International Airport, and the presidential palace in Khartoum."
74,"April 19 – At least 90 people are killed and another 322 injured in a crowd crush during a Ramadan charity event in Sanaa, Yemen."
75,"April 20 – SpaceX's Starship rocket, the largest and most powerful rocket ever built, launches for the first time in a test flight from Texas. It explodes four minutes after launch."
76,"April 21 – The Global Fellowship of Confessing Anglicans, representing a majority of the global Anglican population, reject the leadership of Archbishop of Canterbury Justin Welby as the head of global Anglicanism over his support for same-sex marriage."
77,"April 25 – A mass cult suicide is uncovered in Shakahola forest in Kenya. 429 followers of the Good News International Ministries are found in shallow graves throughout the forest, with over 613 people missing."
78,April 29 – The 2023 Niuean general election is held and incumbent Dalton Tagelagi is re-elected as Premier of Niue.
79,"April 30 – The 2023 Paraguayan general election is held, with the Colorado Party candidate Santiago Peña being the president-elect of Paraguay, winning in a plurality."
80,"April 30 – The second round of the 2023 French Polynesian legislative election is held; the Tāvini Huiraʻatira party wins a majority of seats. Moetai Brotherson, Tāvini Huiraʻatira's deputy leader, is elected President of French Polynesia."
81,May 1 – 2023 banking crisis: San Francisco-based First Republic Bank fails and is auctioned off by the US FDIC to JPMorgan Chase for $10.7 billion. The collapse surpasses March's collapse of Silicon Valley Bank to become the second largest in US history.
82,"May 3 – A school shooting occurs in Belgrade, Serbia. A second mass murder occurs the next day near Mladenovac and Smederevo. These events leave 19 people dead, causing the government to increase regulations on gun ownership and mass anti-government protests to begin."
83,"May 4 – A series of floods and landslides strikes villages in the eastern Democratic Republic of the Congo, resulting in over 400 deaths."
84,"May 5 – The World Health Organization ends its declaration of COVID-19 being a global health emergency, but continues to refer to it as a pandemic."
85,"May 6 – The coronation of Charles III and Camilla as King and Queen of the United Kingdom and the other Commonwealth realms is held in Westminster Abbey, London."
86,May 7 – Syria is readmitted into the Arab League after being suspended since 2011.
87,"May 9 – Cyclone Mocha forms in the Indian Ocean, killing over 400 people and injuring over 700 as it strikes Myanmar and Bangladesh."
88,"May 9–13 – The Eurovision Song Contest 2023 is held in Liverpool, UK. Swedish contestant Loreen wins with the song ""Tattoo""."
89,May 11 – The World Health Organization ends its declaration of mpox being a global health emergency.
90,"May 14 – The 2023 Thai general election is held, with pro-democratic parties such as the Move Forward and Pheu Thai parties gaining a majority of seats in the House of Representatives while pro-military parties such as Palang Pracharat lost seats."
91,"May 14 – The 49th G7 summit takes place in Hiroshima, Japan. Ukrainian president Volodymyr Zelenskyy arrives in Japan on the second day of the summit."
92,"May 21 – The May 2023 Greek legislative election is held; the ruling New Democracy wins a plurality of seats in the Hellenic Parliament. Just days later, incumbent prime minister Kyriakos Mitsotakis called for another snap election to be held in June."
93,"May 21 – The 2023 East Timorese parliamentary election is held, with the National Congress for Timorese Reconstruction and Fretilin parties receiving the most votes. Xanana Gusmão is elected Prime Minister of East Timor."
94,May 24 – Canada and Saudi Arabia agree to restore full diplomatic relations after a breakdown in relations in 2018 over the assassination of Jamal Khashoggi.
95,May 25 – Russia and Belarus sign an agreement in Minsk allowing the stationing of Russian tactical nuclear weapons on Belarusian territory.
96,"May 27 – The second round of the 2023 Mauritanian parliamentary election is held, with the ruling El Insaf Party receiving the most votes."
97,May 28 – The second round of the 2023 Turkish presidential election is held; Recep Tayyip Erdoğan defeats Kemal Kılıçdaroğlu with 52.18% of the vote to win a third term as president.
98,May 31 – The 2023 Latvian presidential election is held; Edgars Rinkēvičs is elected the President of Latvia.
99,"June 2 – A train collision in Odisha, India results in at least 296 deaths and more than 1,200 others injured."
100,"The 2023 Guinea-Bissau legislative election is held; the coalition Inclusive Alliance Platform – Terra Ranka led by the African Party for the Independence of Guinea and Cape Verde, wins a majority of seats."
101,"June 6 – The 2023 Kuwaiti general election is held; following the annulment of the results of the 2022 snap elections by the Constitutional Court. 38 members retained their seats from the annulled 2022 session, while two returned from the dissolved 2020 session. Ten new MPs were elected for the first time."
102,"June 6 – Russian invasion of Ukraine: The Nova Kakhovka dam in the Russian-controlled region of Kherson is destroyed, threatening the region with devastating floodwaters."
103,"June 6 – Due to smoke from wildfires in Canada, New York City in the United States is declared to have the worst air quality out of any city in the world."
104,"June 11 – Honduras opens its first embassy in Beijing, China, after breaking off relations with Taiwan in March."
105,June 12 – Eritrea rejoins the Intergovernmental Authority on Development trade bloc after suspending its membership in 2007.
106,"June 13 – At least 106 people are killed when a wedding boat capsizes on the Niger River in Kwara State, Nigeria."
107,"June 14 – Scientists report the creation of the first synthetic human embryo from stem cells, without the need for sperm or egg cells."
108,June 14 – At least 82 people die and 500 are reported missing after a boat carrying migrants capsizes off the coast of the Peloponnese.
109,"June 18 – Titan submersible implosion: All five crew members of Titan, a deep-sea submersible exploring the wreck of the Titanic, are killed following a catastrophic implosion of the vessel."
110,"June 19 – The United Nations General Assembly unanimously adopts the High Seas Treaty, the first treaty aimed towards marine conservation in international waters."
111,June 19 – Qatar and the United Arab Emirates announce that they will restore diplomatic relations after relations were suspended during the Qatar diplomatic crisis.
112,"June 20 – At least 46 people are killed after a riot between MS-13 and Barrio 18 gang members at a women's prison near Tegucigalpa, Honduras."
113,"June 23 – Russian invasion of Ukraine: The Wagner Group, led by Yevgeny Prigozhin, begins an armed conflict with the Russian military, seizing the city of Rostov-on-Don and portions of the Voronezh Oblast before withdrawing the next day, after a peace agreement brokered by Belarusian President Alexander Lukashenko."
114,"June 25 – The June 2023 Greek legislative election is held; Kyriakos Mitsotakis becomes prime minister after his centre-right party, New Democracy, wins a majority of seats in the Greek parliament."
115,June 28 – The 2023 Sierra Leonean general election is held; Julius Maada Bio of the Sierra Leone People's Party is re-elected president.
116,"June 30 – The United Nations Security Council votes unanimously to end MINUSMA, its peacekeeping mission in Mali."
117,July 3 – Indian oil refiners start payments for Russian oil imports in Chinese yuan as an alternative to the US dollar due to increasing sanctions against Russia.
118,"July 3 – In the largest incursion by Israel into the West Bank since the Second Intifada, the Israeli military deploys ground forces and armed drones into the Jenin camp, killing 13 and injuring more than 100. An attack claimed by Hamas as retaliation for the incursion, occurs in Tel Aviv the following day, injuring nine."
119,"July 4 – Iran joins the Shanghai Cooperation Organisation, becoming the organization's ninth member."
120,"July 8 – In the Netherlands, the governing coalition collapses and Prime Minister Mark Rutte announces his upcoming resignation."
121,July 9 – The 2023 Uzbek presidential election is held; Shavkat Mirziyoyev is re-elected president of Uzbekistan.
122,"July 9 – New Zealand signs a free trade agreement with the European Union, increasing bilateral trade."
123,July 10 – China and the Solomon Islands sign a cooperation agreement between the People's Police and the Royal Solomon Islands Police Force in an upgrade of bilateral relations.
124,July 10 – The European Commission and the U.S. government sign a new data communication agreement aimed at resolving legal uncertainties that European and American companies face when transferring personal data.
125,July 13 – Pita Limjaroenrat fails to become Prime Minister of Thailand in a National Assembly vote after forming a coalition with pro-democracy parties following the 2023 Thai general election.
126,"July 14 – SAG-AFTRA announces it will begin a strike against the major film and TV studios in protest of low compensation, ownership of work, and generative AI."
127,"July 19 – Typhoon Doksuri forms in the eastern Pacific Ocean, going on to kill 137 people in Southeast Asia."
128,"July 20–August 20 – The 2023 FIFA Women's World Cup is held in Australia and New Zealand. In the final, Spain wins 1–0 against England."
129,"July 20 – Bolivia and Iran sign a memorandum of understanding, in an upgrade of bilateral relations, expanding cooperation in the security and defense sectors."
130,"July 21 – The films Barbie and Oppenheimer open, while being paired as a major internet and cultural event, Barbenheimer."
131,"July 23 – 2023 Greece wildfires: Tens of thousands of tourists flee Rhodes, Greece, amid wildfires and a major heatwave, in what officials say is the largest evacuation in the country's history."
132,July 23 – Danish cyclist Jonas Vingegaard wins the Tour de France for the second consecutive time.
133,"July 23 – The 2023 Cambodian general election is held, with the dominant Cambodian People's Party retaining control of every seat in the National Assembly."
134,"July 23 – The 2023 Spanish general election is held, with the People's Party becoming the largest party in the Congress of Deputies."
135,July 26 – President Mohamed Bazoum of Niger is toppled in a coup d'état after members of his presidential guard and the armed forces seize control of the country and install General Abdourahamane Tchiani as leader of a military junta.
136,"July 30 – 63 people are killed and over 200 are injured after a suicide bombing occurs in Khar, Pakistan; the Islamic State – Khorasan Province claims responsibility for the attack."
137,"August 1 – Global warming: The world's oceans reach a new record high temperature of 20.96 °C (69.73 °F), exceeding the previous record in 2016. July is also the hottest month on record for globally averaged surface air temperatures by a considerable margin (0.3 °C (32.5 °F))."
138,"August 8 – 2023 Hawaii wildfires: 17,000 acres of land are burned and at least 101 people are killed, with two others missing, when a series of wildfires break out on the island of Maui in Hawaii."
139,"August 10 – Tapestry, the holding company of Coach New York and Kate Spade, announces it will acquire Michael Kors' Capri Holdings, which also owns Versace and Jimmy Choo."
140,"August 16–21 – Hurricane Hilary, a Category 4 Pacific Hurricane, strikes the Baja California peninsula and later causes record flooding in Southern California."
141,"August 18 – American–Japanese–Korean trilateral pact: The United States, Japan, and South Korea agree to sign a trilateral pact."
142,"August 20 – 2023 Guatemalan presidential election: After two rounds of voting, Bernardo Arévalo of Semilla is elected with 58% of the vote."
143,August 21 – 2023 Canadian wildfires: 68% of the Northwest Territories are forced to evacuate to other parts of the country due to wildfires.
144,August 21 – Saudi Arabia is accused of mass killing hundreds of African migrants attempting to cross its border with Yemen.
145,"August 23 – India's Chandrayaan-3 becomes the first spacecraft to land near the south pole of the Moon, carrying a lunar lander named Vikram and a lunar rover named Pragyan."
146,"August 23 – Wagner Group leader Yevgeny Prigozhin, founder Dmitry Utkin and eight others are killed when their plane crashes in Russia."
147,"August 30 – Following the announcement of incumbent president Ali Bongo Ondimba's reelection as President of Gabon after the 2023 presidential election, the military launches a successful coup d'état and creates the Committee for the Transition and Restoration of Institutions to govern the country, ending the rule of the Bongo family after 56 years in power."
148,August 31 – 2023 Johannesburg building fire: 77 people are killed and more than 85 are injured in a fire in a building that had been taken over by gangs who rented it out to squatters.
149,September 1 – 2023 Singaporean presidential election: Economist and former deputy prime minister Tharman Shanmugaratnam is elected president with a vote share of over 70%.
150,"September 2 – The Indian Space Research Organisation (ISRO) successfully launches Aditya-L1, India's first solar observation mission."
151,September 6 – Bassist Richard Davis dies at the age of 93.
152,"September 8–October 28 – The 2023 Rugby World Cup is held in France. South Africa beat New Zealand 12–11 in the final at the Stade de France, claiming their 4th Rugby World Cup title."
153,"September 8 – 2023 Marrakesh–Safi earthquake: A 6.9 magnitude earthquake strikes Marrakesh–Safi province in western Morocco, killing at least 2,960 people and damaging historic buildings."
154,"September 9 – At the 18th G20 summit in New Delhi, the African Union is announced as the 21st permanent member of the G20."
155,"September 10 – Storm Daniel, a Mediterranean tropical-like cyclone, kills at least 5,000 people, with a further 10,000 to 100,000 reported missing. In the city of Derna in Libya, two dams collapse, resulting in a quarter of the city being destroyed."
156,"September 14 – The European Central Bank (ECB) raises eurozone interest rates to an all-time high of 4%, amid ongoing inflationary pressures across the continent."
157,"September 19 – Nagorno-Karabakh conflict: Azerbaijan launches a military offensive against the Armenia-backed Republic of Artsakh, which ends with a swift Azerbaijani victory. Protests erupt in Armenia, Artsakh announces the dissolution of government institutions, and over 100,000 ethnic Armenians flee Nagorno-Karabakh."
158,"September 20 – Archaeologists in Zambia find the world's oldest wooden structure, dating back 476,000 years, consisting of two interlocking wooden logs connected by a notch securing one perpendicular to the other."
159,"September 21 – Rupert Murdoch announces his retirement and passes his businesses on to his son Lachlan. Murdoch led News Corp and Fox, and formerly Sky Group."
160,September 24 – 2023 Nigerien crisis: French President Emmanuel Macron announces that France will end its military presence in Niger and will recall its ambassador from the country.
161,"September 25 – An estimated 170 people are killed and over 300 are injured during a explosion at a gas station in Stepanakert, Nagorno-Karabakh."
162,"September 30 – 2023 Slovak parliamentary election: Smer, under the leadership of former prime minister Robert Fico, wins a plurality of seats in the National Council."
163,"October 3 – Elected on January 8, Kevin McCarthy is removed as Speaker of the United States House of Representatives, with Mike Johnson being elected new Speaker on October 25."
164,"October 3 – Sam Bankman-Fried, an American entrepreneur and founder of cryptocurrency exchange company FTX, is put on trial and later convicted on seven charges of fraud and conspiracy. His sentencing is scheduled for March 28, 2024."
165,"October 5 – November 19 – The 2023 Cricket World Cup is held in India, with Australia defeating India in the final."
166,"October 7 – Israel–Hamas war: Hamas launches an incursion into southern Israel from the Gaza Strip, killing more than 1,100 Israelis and taking about 240 hostages, prompting a military response from the Israel Defense Forces. Israel launches numerous air strikes on Lebanon after rockets are fired by Hezbollah and further attempts are made to penetrate Israel."
167,"October 7 – A series of earthquakes occur in Herat Province in Afghanistan, killing over 1,000 people and injuring nearly 2,000, with tremors felt in Iran and Turkmenistan. The earthquakes are the deadliest in the country since 1998."
168,October 8 – Israel's Security Cabinet formally declares war for the first time since the Yom Kippur War in 1973.
169,"October 11 – ExxonMobil announces it will acquire Pioneer Natural Resources for $65 billion USD, the first of two major energy industry acquisitions of the month. The second occurs less than two weeks later on 23 October, where Hess announces it will be acquired by Chevron for $50 billion."
170,"October 13 – After British regulators' approval, Microsoft closes its $68.7 billion USD acquisition of Activision Blizzard."
171,October 14 – 2023 Australian Indigenous Voice referendum: A majority of Australians vote against establishing an Aboriginal and Torres Strait Islander Voice in the constitution.
172,"October 14 – 2023 New Zealand general election: The National Party wins a plurality of seats under leader Christopher Luxon, while the Labour Party suffers the worst result for an incumbent ruling party in modern New Zealand history."
173,"October 15 – In the second round of the 2023 Ecuadorian general election, Daniel Noboa of the National Democratic Action is elected as the youngest-ever President of Ecuador."
174,"October 15 – 2023 Polish parliamentary election: The Law and Justice party wins the most seats, but loses its majority, with its incumbent president Mateusz Morawiecki being succeeded by the Civic Platform party's Donald Tusk on 13 December."
175,"October 17 – An explosion occurs at the Al-Ahli Arab Hospital, where displaced Palestinians are taking refuge. Many fatalities are reported, but estimates vary significantly, from 100 to as many as 471, depending on the source."
176,October 22 – 2023 Swiss federal election: The Swiss People's Party retains its majority in the National Council.
177,"October 25 – Hurricane Otis, an eastern Pacific tropical cyclone, makes landfall in Mexico near Acapulco, leaving at least 80 dead. It is the most powerful Eastern Pacific hurricane to make landfall in Mexico, with the highest winds reaching 165 mph, surpassing Hurricane Patricia's landfall in 2015."
178,"October 31 – Israel intercepted a Yemeni Houthi ballistic missile with its Arrow 2 missile defense system. The interception occurred above Earth's atmosphere above the Negev Desert, making it the first instance of space combat in history."
179,"November 1 – The first AI Safety Summit takes place in the United Kingdom, with 28 countries signing a ""world first agreement"" on how to manage the riskiest forms of artificial intelligence."
180,"November 2 – The Beatles release ""Now and Then"", the band's last ever song, featuring restored vocals by John Lennon (1940–1980), as well as guitar tracks by George Harrison (1943–2001)."
181,"November 6 – Israel–Hamas war: The death toll in Gaza is reported to have passed 10,000. United Nations Secretary General António Guterres calls for a humanitarian ceasefire to increase the flow of aid to civilians."
182,November 7 – The Portuguese Prime Minister António Costa announces his pending resignation. The President of Portugal decides to dissolve the parliament and call for early elections to be held on 10 March 2024.
183,November 9 – U.S. surgeons at NYU Langone Health announce the world's first whole eye transplant.
184,"November 10 – In the Falepili Union treaty, Australia grants ""special"" freedom of movement and defence rights to Tuvaluans for residence and employment for climate reasons."
185,"November 14–17 – President Biden hosts the APEC summit in San Francisco, which Chinese president Xi Jinping attends. Both countries, at the conclusion of the summit, agree to re-open suspended channels of military communications and to cooperate in their fight against climate change."
186,November 17 – The global average temperature temporarily exceeds 2 °C above the pre-industrial average for the first time in recorded history.
187,"November 19 – 2023 Argentine presidential election: Following the first round on 22 October 2023, Javier Milei wins in the second round of the election, assuming office on 10 December with Victoria Villarruel as his vice president."
188,"November 22 – Israel and Hamas agree to a four-day ceasefire, the first pause in fighting since 7 October, during which many Israeli hostages will be released, in exchange for Palestinian prisoners."
189,November 22 – 2023 Dutch general election: Far-right Geert Wilders' Party for Freedom (PVV) wins the most seats.
190,"November 24 – Somalia is admitted as the eighth member of the East African Community, having applied for membership in 2012."
191,"November 30 – Brazil announces it will join OPEC+ at a meeting of the organization to discuss oil output strategy in 2024. Brazil is the largest oil producer in South America, producing 4.6 million barrels per day of oil and gas."
192,December 3 – 2023 Guyana–Venezuela crisis: Venezuela votes in a symbolic referendum on whether voters agreed with creating a subdivision in the disputed territory of Guayana Esequiba currently under the control of neighboring Guyana. Analysts say the referendum's practical implications are likely to be minimal.
193,"December 6 – Google DeepMind releases the Gemini Language Model. Gemini will act as a foundational model integrated into Google's existing tools, including Search and Bard."
194,December 10–12 – 2023 Egyptian presidential election: Incumbent President Abdel Fattah el-Sisi wins a third term with 89.6 percent of the vote in the election.
195,"December 12 – At the COP28 climate summit in Dubai, a consensus is reached for countries to ""transition away"" from fossil fuels, the first such agreement in the conference's 30-year history. The transition is specifically for energy systems, excluding plastics, transport or agriculture."
196,December 16 – Emir of Kuwait Nawaf Al-Ahmad Al-Jaber Al-Sabah dies at the age of 86 and is succeeded by his half-brother Mishal Al-Ahmad Al-Jaber Al-Sabah.
197,"December 17 – The 2023 Serbian parliamentary election is held, with the SNS coalition, led by Miloš Vučević, winning 128 of 250 seats in the Serbian National Assembly."
198,December 18 – A number of shipping companies announce a temporary suspension of their operations in the Red Sea due to continued attacks on vessels by Houthi rebels.
